Chakra,Tree,Treatment,Type,Trunk Cir.,Canopy HT,Water,Shade,Cover
CC1,1,LB,G,47,380,N,10,25
CC1,2,LB,R,82,500,N,0,15
CC1,3,LN,R,37,380,N,0,0
CC1,4,LN,G,106,260,N,0,5
CC1,5,NB,G,44,345,N,5,10
CC1,6,NB,G,37,225,N,0,25
CC1,7,NN,G,52,285,N,5,30
CC1,8,NN,-,28,240,N,0,10
CC1,9,LB,R,38,610,Y,0,70
CC1,10,LB,G,56,370,Y,5,50
CC1,11,NB,G,51,460,N,0,40
CC1,12,NN,G,36,280,N,10,30
CC1,51,CW,G,55,,N,5,25
CC1,52,CW,G,45,,N,0,0
CC1,53,CW,,51,,N,30,40
CC1,13,LB,G,56,410,N,0,50
CC1,14,NB,G,42,350,N,0,40
CC1,15,LB,G,35,265,N,90,80
CC1,16,LN,G,41,255,N,0,60
CC1,17,LN,G,73,550,N,0,25
CC1,18,NN,G,24,210,N,0,5
CC2,1,LB,G,28,310,N,15,15
CC2,2,LB,G,30,205,N,5,25
CC2,3,LN,R,40,185,N,30,35
CC2,4,LN,G,32,115,N,50,25
CC2,5,NB,G,26,220,N,80,80
CC2,6,NB,R,34,445,N,10,40
CC2,7,NN,G,40,130,N,25,0
CC2,8,NN,G,48,290,N,0,60
CC2,9,LB,G,32,317,N,5,15
CC2,10,LN,G,42,310,N,0,15
CC2,11,NB,G,41,275,N,50,70
CC2,51,CW,G,48,225,N,80,70
CC2,52,CW,R,30,180,N,20,70
CC2,53,CW,G,50,370,N,50,40
CC2,12,LB,G,29,285,N,0,30
CC2,13,LN,G,28,255,N,0,50
CC2,14,NB,R,33,300,N,50,80
CC2,15,LN,G,33,335,N,25,70
CC2,16,NN,G,42,340,N,10,5
CC2,17,NN,G,29,335,N,10,5
RB1,1,NB,G,38,360,N,10,50
RB1,2,NB,G,43,320,N,5,50
RB1,3,LB,G,44,320,N,5,70
RB1,4,LB,G,47,400,N,0,90
RB1,5,LN,G,83,435,N,0,90
RB1,6,LN,G,28,200,N,15,70
RB1,7,NN,G,47,370,N,0,60
RB1,8,NN,G,32,240,N,15,90
RB1,9,NN,G,43,355,N,10,95
RB1,10,LN,G,47,344,N,20,70
RB1,11,LB,G,42,440,N,5,90
RB1,12,LB,G,48,410,N,0,95
RB1,16,NN,G,35,390,N,30,80
RB1,13,NN,G,70,470,N,30,80
RB1,14,LN,G,52,380,N,50,60
RB1,15,LB,G,50,440,N,0,95
RB1,17,NB,G,51,360,N,0,70
RB1,18,NB,G,54,420,N,15,50
RB1,19,NB,G,44,370,N,0,25
RB1,20,NN,G,39,360,N,0,10
RB1,21,NN,G,46,360,N,50,80
RB1,22,LN,G,56,420,N,10,80
RB1,23,LB,G,70,420,N,0,50
RB2,1,NN,R,54,390,N,15,80
RB2,2,NN,G,34,245,Y,0,70
RB2,3,NB,G,44,415,N,10,80
RB2,4,NB,G,53,485,N,0,80
RB2,5,LB,G,60,405,N,0,90
RB2,6,LB,G,52,640,N,0,95
RB2,7,LN,G,38,210,N,10,90
RB2,8,LN,G,60,405,N,10,95
RB2,9,NN,G,47,400,N,10,80
RB2,10,NN,G,33,305,N,0,60
RB2,11,NB,G,45,460,N,0,60
RB2,12,NB,R,30,445,N,10,80
RB2,13,LB,G,29,330,N,0,30
RB2,14,LB,G,54,585,N,0,95
RB2,15,LN,R,67,525,N,0,95
RB2,16,LN,R,52,410,N,0,95
SJ1,1,NN,G,88,475,N,60,90
SJ1,2,NN,G,39,250,N,0,5
SJ1,3,NB,G,28,200,N,25,5
SJ1,4,NB,G,33,225,N,10,15
SJ1,5,LB,G,29,295,N,0,5
SJ1,6,LB,R,52,310,N,10,5
SJ1,7,LN,R,28,255,N,75,10
SJ1,8,LN,G,43,260,N,90,60
SJ1,9,LN,R,29,230,N,5,10
SJ1,10,LB,G,57,355,N,0,25
SJ1,11,LB,R,33,350,N,10,25
SJ1,12,NN,R,43,335,N,70,70
SJ1,13,NB,G,37,225,N,0,50
SJ1,51,CW,G,36,350,N,10,30
SJ1,52,CW,G,28,185,N,0,10
SJ1,53,CW,G,63,390,N,0,60
SJ1,14,LN,G,68,225,N,10,5
SJ1,15,NB,R,54,385,N,35,40
SJ1,16,NB,G,39,310,N,0,60
SJ1,17,NN,G,84,450,N,5,25
SJ2,1,NN,G,27,150,N,60,60
SJ2,2,NN,G,27,200,N,15,30
SJ2,3,NB,G,42,315,N,70,80
SJ2,4,NB,R,29,220,N,10,60
SJ2,5,LN,G,37,470,N,50,0
SJ2,6,LN,G,28,205,N,10,35
SJ2,7,LB,G,40,200,N,20,80
SJ2,8,LB,G,25,130,N,30,25
SJ2,9,LN,G,41,285,N,0,30
SJ2,10,NB,G,24,190,N,10,15
SJ2,11,NN,R,30,90,N,15,20
SJ2,51,CW,G,34,150,N,5,50
SJ2,52,CW,R,30,95,N,10,50
SJ2,53,CW,G,36,355,N,80,60
SJ2,12,LB,G,33,220,N,25,60
SJ2,13,NB,G,42,320,N,50,60
SJ2,14,NN,G,19,175,N,80,5
SJ2,15,NB,G,28,155,N,10,15
SJ2,16,NB,G,27,185,N,25,25
SJ2,17,LB,G,42,355,N,25,25